2024-06-14 16:35:39,408 | root | INFO | Dataset: movielens100k
2024-06-14 16:36:48,877 | root | INFO | Recomanaci√≥ per l'usuari: 2069
2024-06-14 16:36:48,878 | root | WARNING | usuari 2069 no carregat.
2024-06-14 16:36:59,598 | root | INFO | Recomanaci√≥ per l'usuari: 388
2024-06-14 16:36:59,599 | root | WARNING | usuari 388 no carregat.
2024-06-14 16:37:09,531 | root | INFO | Recomanaci√≥ per l'usuari: 1
2024-06-14 16:37:09,532 | root | WARNING | usuari 1 no carregat.
2024-06-14 16:37:19,393 | root | INFO | Sortint...
2024-06-14 16:38:29,764 | root | INFO | Dataset: books
2024-06-14 16:38:29,764 | root | INFO | Method: simple
2024-06-14 16:38:29,764 | root | INFO | Pickles existeixen -> Carregant recomender des de recomender_books_simple.dat
2024-06-14 16:38:31,583 | root | INFO | Executant programa principal del recomender
2024-06-14 16:38:35,414 | root | INFO | Recomanaci√≥ per l'usuari: 1
2024-06-14 16:38:35,419 | root | DEBUG | Recomanaci√≥ Simple per l'usuari: 1
2024-06-14 16:43:19,945 | root | INFO | Dataset: books
2024-06-14 16:43:19,945 | root | INFO | Method: simple
2024-06-14 16:43:19,945 | root | INFO | Creant recomender per a books amb el m√®tode simple
2024-06-14 16:43:19,945 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 16:43:19,945 | root | INFO | Inicialitzant Recomanacio
2024-06-14 16:43:19,946 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 16:43:20,114 | root | INFO | Carregant dades de valoracions
2024-06-14 16:43:22,128 | root | INFO | Executant programa principal del recomender
2024-06-14 16:43:25,505 | root | INFO | Recomanaci√≥ per l'usuari: 1
2024-06-14 16:43:25,509 | root | DEBUG | Recomanaci√≥ Simple per l'usuari: 1
2024-06-14 16:43:37,693 | root | DEBUG | Creant item Book amb id: 0060930187
2024-06-14 16:43:37,693 | root | DEBUG | Inicialitzant Item amb ID: 0060930187
2024-06-14 16:43:38,046 | root | DEBUG | Creant item Book amb id: 0446310786
2024-06-14 16:43:38,048 | root | DEBUG | Inicialitzant Item amb ID: 0446310786
2024-06-14 16:43:38,399 | root | DEBUG | Creant item Book amb id: 1573229571
2024-06-14 16:43:38,399 | root | DEBUG | Inicialitzant Item amb ID: 1573229571
2024-06-14 16:43:38,751 | root | DEBUG | Creant item Book amb id: 2253063339
2024-06-14 16:43:38,751 | root | DEBUG | Inicialitzant Item amb ID: 2253063339
2024-06-14 16:43:39,103 | root | DEBUG | Creant item Book amb id: 0385504209
2024-06-14 16:43:39,104 | root | DEBUG | Inicialitzant Item amb ID: 0385504209
2024-06-14 16:44:11,449 | root | INFO | Sortint...
2024-06-14 16:46:42,264 | root | INFO | Dataset: books
2024-06-14 16:46:42,264 | root | INFO | Method: simple
2024-06-14 16:46:42,264 | root | INFO | Pickles existeixen -> Carregant recomender des de recomender_books_simple.dat
2024-06-14 16:46:42,480 | root | INFO | Executant programa principal del recomender
2024-06-14 16:46:45,749 | root | INFO | Recomanaci√≥ per l'usuari: 1
2024-06-14 16:46:45,753 | root | DEBUG | Recomanaci√≥ Simple per l'usuari: 1
2024-06-14 16:46:59,881 | root | DEBUG | Creant item Book amb id: 0060930187
2024-06-14 16:46:59,882 | root | DEBUG | Inicialitzant Item amb ID: 0060930187
2024-06-14 16:47:00,235 | root | DEBUG | Creant item Book amb id: 0446310786
2024-06-14 16:47:00,235 | root | DEBUG | Inicialitzant Item amb ID: 0446310786
2024-06-14 16:47:00,584 | root | DEBUG | Creant item Book amb id: 1573229571
2024-06-14 16:47:00,584 | root | DEBUG | Inicialitzant Item amb ID: 1573229571
2024-06-14 16:47:00,932 | root | DEBUG | Creant item Book amb id: 2253063339
2024-06-14 16:47:00,932 | root | DEBUG | Inicialitzant Item amb ID: 2253063339
2024-06-14 16:47:01,280 | root | DEBUG | Creant item Book amb id: 0385504209
2024-06-14 16:47:01,280 | root | DEBUG | Inicialitzant Item amb ID: 0385504209
2024-06-14 16:47:03,302 | root | INFO | Sortint...
2024-06-14 17:08:12,188 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 17:08:12,188 | root | INFO | Inicialitzant Recomanacio
2024-06-14 17:08:12,188 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 17:08:12,593 | root | INFO | Carregant dades de valoracions
2024-06-14 17:08:17,050 | root | INFO | 0.0
2024-06-14 17:08:17,050 | root | INFO | 8
2024-06-14 17:08:17,050 | root | INFO | 0002005018
2024-06-14 17:08:17,050 | root | INFO | Executant programa principal del recomender
2024-06-14 17:13:39,770 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 17:13:39,770 | root | INFO | Inicialitzant Recomanacio
2024-06-14 17:13:39,770 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 17:13:41,374 | root | INFO | Carregant dades de valoracions
2024-06-14 17:14:04,423 | root | INFO | 0.0
2024-06-14 17:14:04,423 | root | INFO | 8
2024-06-14 17:14:04,423 | root | INFO | 0002005018
2024-06-14 17:14:04,423 | root | INFO | Executant programa principal del recomender
2024-06-14 17:17:11,928 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 17:17:11,934 | root | INFO | Inicialitzant Recomanacio
2024-06-14 17:17:11,935 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 17:17:13,628 | root | INFO | Carregant dades de valoracions
2024-06-14 17:17:33,895 | root | INFO | 0.0
2024-06-14 17:17:33,895 | root | INFO | 8
2024-06-14 17:17:33,897 | root | INFO | 0002005018
2024-06-14 17:17:33,897 | root | INFO | Executant programa principal del recomender
2024-06-14 17:21:44,134 | root | INFO | AvaluaciÛ per l'usuari: 4
2024-06-14 17:21:44,142 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 4
2024-06-14 17:28:48,547 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 17:28:48,547 | root | INFO | Inicialitzant Recomanacio
2024-06-14 17:28:48,547 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 17:28:50,345 | root | INFO | Carregant dades de valoracions
2024-06-14 17:29:34,902 | root | INFO | 5.0
2024-06-14 17:29:34,902 | root | INFO | 8
2024-06-14 17:29:34,902 | root | INFO | 0002005018
2024-06-14 17:29:49,285 | root | INFO | Executant programa principal del recomender
2024-06-14 17:30:03,547 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-14 17:30:03,555 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-14 17:32:07,349 | root | DEBUG | Creant item Book amb id: 0380778556
2024-06-14 17:32:07,349 | root | DEBUG | Inicialitzant Item amb ID: 0380778556
2024-06-14 17:32:08,231 | root | DEBUG | Creant item Book amb id: 0440225701
2024-06-14 17:32:08,231 | root | DEBUG | Inicialitzant Item amb ID: 0440225701
2024-06-14 17:32:09,055 | root | DEBUG | Creant item Book amb id: 0452282152
2024-06-14 17:32:09,055 | root | DEBUG | Inicialitzant Item amb ID: 0452282152
2024-06-14 17:32:09,807 | root | DEBUG | Creant item Book amb id: 0440241073
2024-06-14 17:32:09,807 | root | DEBUG | Inicialitzant Item amb ID: 0440241073
2024-06-14 17:32:10,656 | root | DEBUG | Creant item Book amb id: 0671510053
2024-06-14 17:32:10,656 | root | DEBUG | Inicialitzant Item amb ID: 0671510053
2024-06-14 17:36:38,923 | root | INFO | AvaluaciÛ per l'usuari: 6
2024-06-14 17:36:38,923 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 6
2024-06-14 17:44:15,652 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 17:44:15,652 | root | INFO | Inicialitzant Recomanacio
2024-06-14 17:44:15,659 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 17:44:16,006 | root | INFO | Carregant dades de valoracions
2024-06-14 17:44:58,877 | root | INFO | 5.0
2024-06-14 17:44:58,877 | root | INFO | 8
2024-06-14 17:44:58,877 | root | INFO | 0002005018
2024-06-14 17:44:58,877 | root | INFO | Executant programa principal del recomender
2024-06-14 17:45:18,392 | root | INFO | AvaluaciÛ per l'usuari: 1
2024-06-14 17:45:18,392 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-14 17:47:31,146 | root | INFO | MAE: nan
2024-06-14 17:47:31,146 | root | INFO | RMSE: nan
2024-06-14 17:52:24,598 | root | INFO | AvaluaciÛ per l'usuari: 7
2024-06-14 17:52:24,604 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 7
2024-06-14 19:59:06,784 | numexpr.utils | INFO | Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2024-06-14 19:59:06,784 | numexpr.utils | INFO | NumExpr defaulting to 8 threads.
2024-06-14 20:02:55,613 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 20:02:55,614 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:02:55,614 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 20:02:55,859 | root | INFO | Carregant dades de valoracions
2024-06-14 20:03:26,228 | root | INFO | 5.0
2024-06-14 20:03:26,228 | root | INFO | 8
2024-06-14 20:03:26,229 | root | INFO | 0002005018
2024-06-14 20:03:26,229 | root | INFO | Executant programa principal del recomender
2024-06-14 20:03:44,426 | root | INFO | AvaluaciÛ per l'usuari: 1
2024-06-14 20:03:44,430 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-14 20:07:47,569 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 20:07:47,570 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:07:47,570 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 20:07:47,795 | root | INFO | Carregant dades de valoracions
2024-06-14 20:08:18,165 | root | INFO | 5.0
2024-06-14 20:08:18,165 | root | INFO | 8
2024-06-14 20:08:18,165 | root | INFO | 0002005018
2024-06-14 20:08:18,166 | root | INFO | Executant programa principal del recomender
2024-06-14 20:08:23,215 | root | INFO | AvaluaciÛ per l'usuari: 1
2024-06-14 20:08:23,219 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-14 20:11:20,459 | numexpr.utils | INFO | Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2024-06-14 20:11:20,459 | numexpr.utils | INFO | NumExpr defaulting to 8 threads.
2024-06-14 20:12:39,210 | root | INFO | Inicialitzant Recomender amb dataset: books i method: simple
2024-06-14 20:12:39,211 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:12:39,212 | root | INFO | Inicialitzant ScoreBooks
2024-06-14 20:12:39,436 | root | INFO | Carregant dades de valoracions
2024-06-14 20:13:09,827 | root | INFO | 5.0
2024-06-14 20:13:09,827 | root | INFO | 8
2024-06-14 20:13:09,828 | root | INFO | 0002005018
2024-06-14 20:13:09,828 | root | INFO | Executant programa principal del recomender
2024-06-14 20:13:52,623 | root | INFO | AvaluaciÛ per l'usuari: 1
2024-06-14 20:13:52,627 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-14 20:18:05,894 | root | INFO | M‡xim: nan
2024-06-14 20:22:49,935 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: simple
2024-06-14 20:22:49,936 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:22:49,936 | root | INFO | Inicialitzant ScoreMovies
2024-06-14 20:22:49,992 | root | INFO | Carregant dades de valoracions
2024-06-14 20:26:37,421 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: simple
2024-06-14 20:26:37,422 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:26:37,423 | root | INFO | Inicialitzant ScoreMovies
2024-06-14 20:26:37,484 | root | INFO | Carregant dades de valoracions
2024-06-14 20:27:50,669 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: simple
2024-06-14 20:27:50,671 | root | INFO | Inicialitzant Recomanacio
2024-06-14 20:27:50,671 | root | INFO | Inicialitzant ScoreMovies
2024-06-14 20:27:50,725 | root | INFO | Carregant dades de valoracions
2024-06-15 21:07:46,989 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: simple
2024-06-15 21:07:46,990 | root | INFO | Inicialitzant Recomanacio
2024-06-15 21:07:46,990 | root | INFO | Inicialitzant ScoreMovies
2024-06-15 21:07:49,065 | root | INFO | Carregant dades de valoracions
2024-06-15 21:07:51,151 | root | INFO | Executant programa principal del recomender
2024-06-15 21:07:56,701 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 21:07:56,702 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-15 21:08:00,118 | root | INFO | M‡xim: 4.415953758137512
2024-06-15 21:08:35,595 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: simple
2024-06-15 21:08:35,596 | root | INFO | Inicialitzant Recomanacio
2024-06-15 21:08:35,597 | root | INFO | Inicialitzant ScoreMovies
2024-06-15 21:08:37,680 | root | INFO | Carregant dades de valoracions
2024-06-15 21:08:39,751 | root | INFO | Executant programa principal del recomender
2024-06-15 21:08:43,594 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 21:08:43,595 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-15 21:08:46,784 | root | INFO | M‡xim: 4.419099264489598
2024-06-15 21:08:46,785 | root | INFO | M‡xim: 4.354620648788335
2024-06-15 21:08:46,785 | root | INFO | M‡xim: 4.323133788550943
2024-06-15 21:08:46,786 | root | INFO | M‡xim: 4.31350774190512
2024-06-15 21:08:46,786 | root | INFO | M‡xim: 4.299126829583961
2024-06-15 21:08:46,787 | root | DEBUG | Creant item Movie amb id: 318
2024-06-15 21:08:46,787 | root | DEBUG | Inicialitzant Item amb ID: 318
2024-06-15 21:08:46,815 | root | DEBUG | Creant item Movie amb id: 177593
2024-06-15 21:08:46,815 | root | DEBUG | Inicialitzant Item amb ID: 177593
2024-06-15 21:08:46,823 | root | DEBUG | Creant item Movie amb id: 1104
2024-06-15 21:08:46,823 | root | DEBUG | Inicialitzant Item amb ID: 1104
2024-06-15 21:08:46,824 | root | DEBUG | Creant item Movie amb id: 1041
2024-06-15 21:08:46,824 | root | DEBUG | Inicialitzant Item amb ID: 1041
2024-06-15 21:08:46,826 | root | DEBUG | Creant item Movie amb id: 6460
2024-06-15 21:08:46,826 | root | DEBUG | Inicialitzant Item amb ID: 6460
2024-06-15 23:19:34,798 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:19:34,799 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:19:34,799 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:20:31,071 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:20:31,071 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:20:31,072 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:28:38,899 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:28:38,899 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:28:38,900 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:29:28,145 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:29:28,146 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:29:28,147 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:30:28,296 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:30:28,297 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:30:28,297 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:30:28,930 | root | INFO | Carregant dades de valoracions
2024-06-15 23:30:29,590 | root | INFO | Executant programa principal del recomender
2024-06-15 23:30:36,811 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:30:36,812 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-15 23:30:40,119 | root | INFO | M‡xim: 9.33378694960192
2024-06-15 23:30:40,120 | root | INFO | M‡xim: 9.313649772661662
2024-06-15 23:30:40,121 | root | INFO | M‡xim: 9.229999542850052
2024-06-15 23:30:40,121 | root | INFO | M‡xim: 9.182778863205213
2024-06-15 23:30:40,121 | root | INFO | M‡xim: 9.178470676060913
2024-06-15 23:30:40,122 | root | DEBUG | Creant item Movie amb id: 11061
2024-06-15 23:30:40,122 | root | DEBUG | Inicialitzant Item amb ID: 11061
2024-06-15 23:30:40,139 | root | DEBUG | Creant item Movie amb id: 9253
2024-06-15 23:30:40,139 | root | DEBUG | Inicialitzant Item amb ID: 9253
2024-06-15 23:30:40,140 | root | DEBUG | Creant item Movie amb id: 5114
2024-06-15 23:30:40,140 | root | DEBUG | Inicialitzant Item amb ID: 5114
2024-06-15 23:30:40,141 | root | DEBUG | Creant item Movie amb id: 15335
2024-06-15 23:30:40,141 | root | DEBUG | Inicialitzant Item amb ID: 15335
2024-06-15 23:30:40,143 | root | DEBUG | Creant item Movie amb id: 199
2024-06-15 23:30:40,143 | root | DEBUG | Inicialitzant Item amb ID: 199
2024-06-15 23:34:23,256 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:34:23,257 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:34:23,258 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:34:23,897 | root | INFO | Carregant dades de valoracions
2024-06-15 23:34:24,545 | root | INFO | Executant programa principal del recomender
2024-06-15 23:34:33,363 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:34:33,364 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-15 23:34:35,251 | root | INFO | M‡xim: 9.30651470823889
2024-06-15 23:34:35,252 | root | INFO | M‡xim: 9.302414860272341
2024-06-15 23:34:35,252 | root | INFO | M‡xim: 9.221742545127686
2024-06-15 23:34:35,253 | root | INFO | M‡xim: 9.166681637007072
2024-06-15 23:34:35,253 | root | INFO | M‡xim: 9.11774332172071
2024-06-15 23:34:35,254 | root | DEBUG | Creant item Movie amb id: 11061
2024-06-15 23:34:35,254 | root | DEBUG | Inicialitzant Item amb ID: 11061
2024-06-15 23:34:35,255 | root | DEBUG | Creant item Movie amb id: 9253
2024-06-15 23:34:35,255 | root | DEBUG | Inicialitzant Item amb ID: 9253
2024-06-15 23:34:35,255 | root | DEBUG | Creant item Movie amb id: 5114
2024-06-15 23:34:35,255 | root | DEBUG | Inicialitzant Item amb ID: 5114
2024-06-15 23:34:35,256 | root | DEBUG | Creant item Movie amb id: 199
2024-06-15 23:34:35,256 | root | DEBUG | Inicialitzant Item amb ID: 199
2024-06-15 23:34:35,256 | root | DEBUG | Creant item Movie amb id: 15335
2024-06-15 23:34:35,256 | root | DEBUG | Inicialitzant Item amb ID: 15335
2024-06-15 23:36:55,184 | root | INFO | AvaluaciÛ per l'usuari: 1
2024-06-15 23:36:55,184 | root | DEBUG | RecomanaciÛ Simple per l'usuari: 1
2024-06-15 23:36:58,191 | root | INFO | M‡xim: 9.33378694960192
2024-06-15 23:36:58,193 | root | INFO | M‡xim: 9.313649772661662
2024-06-15 23:36:58,193 | root | INFO | M‡xim: 9.229999542850052
2024-06-15 23:36:58,193 | root | INFO | M‡xim: 9.182778863205213
2024-06-15 23:36:58,194 | root | INFO | M‡xim: 9.178470676060913
2024-06-15 23:37:24,329 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: simple
2024-06-15 23:37:24,330 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:37:24,330 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:37:24,950 | root | INFO | Carregant dades de valoracions
2024-06-15 23:37:25,619 | root | INFO | Executant programa principal del recomender
2024-06-15 23:38:00,128 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: colaboratiu
2024-06-15 23:38:00,129 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:38:00,129 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:38:00,760 | root | INFO | Carregant dades de valoracions
2024-06-15 23:38:01,399 | root | INFO | Executant programa principal del recomender
2024-06-15 23:38:08,825 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:38:08,826 | root | DEBUG | RecomanaciÛ Colaborativa per l'usuari: 1
2024-06-15 23:38:10,489 | root | DEBUG | Creant item Movie amb id: 10793
2024-06-15 23:38:10,490 | root | DEBUG | Inicialitzant Item amb ID: 10793
2024-06-15 23:38:10,492 | root | DEBUG | Creant item Movie amb id: 4181
2024-06-15 23:38:10,492 | root | DEBUG | Inicialitzant Item amb ID: 4181
2024-06-15 23:38:10,493 | root | DEBUG | Creant item Movie amb id: 16498
2024-06-15 23:38:10,493 | root | DEBUG | Inicialitzant Item amb ID: 16498
2024-06-15 23:38:10,493 | root | DEBUG | Creant item Movie amb id: 2167
2024-06-15 23:38:10,494 | root | DEBUG | Inicialitzant Item amb ID: 2167
2024-06-15 23:38:10,494 | root | DEBUG | Creant item Movie amb id: 7593
2024-06-15 23:38:10,494 | root | DEBUG | Inicialitzant Item amb ID: 7593
2024-06-15 23:38:46,149 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: basat en contingut
2024-06-15 23:38:46,150 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:38:46,151 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:38:46,780 | root | INFO | Carregant dades de valoracions
2024-06-15 23:38:47,430 | root | INFO | Executant programa principal del recomender
2024-06-15 23:38:50,438 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:38:50,439 | root | DEBUG | RecomanaciÛ Basada En Contingut per l'usuari: 1
2024-06-15 23:39:41,730 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: basat en contingut
2024-06-15 23:39:41,731 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:39:41,732 | root | INFO | Inicialitzant ScoreMovies
2024-06-15 23:41:14,614 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: basat en contingut
2024-06-15 23:41:14,615 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:41:14,616 | root | INFO | Inicialitzant ScoreMovies
2024-06-15 23:41:16,739 | root | INFO | Carregant dades de valoracions
2024-06-15 23:41:18,814 | root | INFO | Executant programa principal del recomender
2024-06-15 23:41:22,531 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:41:22,531 | root | DEBUG | RecomanaciÛ Basada En Contingut per l'usuari: 1
2024-06-15 23:43:09,117 | root | INFO | Inicialitzant Recomender amb dataset: movielens100k i method: basat en contingut
2024-06-15 23:43:09,118 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:43:09,119 | root | INFO | Inicialitzant ScoreMovies
2024-06-15 23:43:11,242 | root | INFO | Carregant dades de valoracions
2024-06-15 23:43:13,477 | root | INFO | Executant programa principal del recomender
2024-06-15 23:43:15,815 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:43:15,815 | root | DEBUG | RecomanaciÛ Basada En Contingut per l'usuari: 1
2024-06-15 23:43:16,389 | root | DEBUG | Creant item Movie amb id: 914
2024-06-15 23:43:16,389 | root | DEBUG | Inicialitzant Item amb ID: 914
2024-06-15 23:43:16,390 | root | DEBUG | Creant item Movie amb id: 1272
2024-06-15 23:43:16,390 | root | DEBUG | Inicialitzant Item amb ID: 1272
2024-06-15 23:43:16,392 | root | DEBUG | Creant item Movie amb id: 5746
2024-06-15 23:43:16,392 | root | DEBUG | Inicialitzant Item amb ID: 5746
2024-06-15 23:43:16,395 | root | DEBUG | Creant item Movie amb id: 5764
2024-06-15 23:43:16,395 | root | DEBUG | Inicialitzant Item amb ID: 5764
2024-06-15 23:43:16,399 | root | DEBUG | Creant item Movie amb id: 215
2024-06-15 23:43:16,399 | root | DEBUG | Inicialitzant Item amb ID: 215
2024-06-15 23:43:28,050 | root | INFO | Sortint...
2024-06-15 23:43:46,808 | root | INFO | Inicialitzant Recomender amb dataset: animedata i method: basat en contingut
2024-06-15 23:43:46,809 | root | INFO | Inicialitzant Recomanacio
2024-06-15 23:43:46,809 | root | INFO | Inicialitzant ScoreAnimes
2024-06-15 23:43:47,430 | root | INFO | Carregant dades de valoracions
2024-06-15 23:43:48,071 | root | INFO | Executant programa principal del recomender
2024-06-15 23:43:50,794 | root | INFO | RecomanaciÛ per l'usuari: 1
2024-06-15 23:43:50,795 | root | DEBUG | RecomanaciÛ Basada En Contingut per l'usuari: 1
2024-06-15 23:43:51,410 | root | DEBUG | Creant item Movie amb id: 11617
2024-06-15 23:43:51,410 | root | DEBUG | Inicialitzant Item amb ID: 11617
2024-06-15 23:43:51,412 | root | DEBUG | Creant item Movie amb id: 15451
2024-06-15 23:43:51,412 | root | DEBUG | Inicialitzant Item amb ID: 15451
2024-06-15 23:43:51,414 | root | DEBUG | Creant item Movie amb id: 16508
2024-06-15 23:43:51,414 | root | DEBUG | Inicialitzant Item amb ID: 16508
2024-06-15 23:43:51,422 | root | DEBUG | Creant item Movie amb id: 20
